,Глубина_манометра_м_2,Dшт_мм_3,Рзаб_бара_5,Pлин_бара_6,Рлин_бар_9,Туст__С_10,Тна_шлейфе__С_11,Тзаб__С_12,Tлин__С_13,Дебит_воды_м3/сут_16,Дебит_гааз_м3/сут_18,Дебит_кон_нестабильный_м3/сут_19,Нэф_м_21,Рпл_Тек_(послед_точка_на_КВД)_МПа_22,Рпл_Тек_(Расчет_по_КВД)_МПа_23,Рпл_Тек_(Карноухов)_МПа_24,Pсб__атм_25,Ro_c_кг/м3_28,Удельная_плотность_газа__б/р_30,G_total_кг/с_31,КГФ_г/м3_32
82,3640.5,11.11,390.0,107.78597560975592,108.50161290322579,62.0,,105.0,42.71885670731711,1.106617667682927,3817.5,185.2,63.3,42.86,50.8,51.2,103.7,792.0,0.679,,187.0
83,3640.5,12.7,384.4,110.16593220338972,110.19000000000001,64.0,,104.9,47.98646892655367,0.6516762146892656,4835.0,222.6,63.3,42.86,50.8,51.2,103.8,792.0,0.679,,180.0
84,3667.0,7.94,362.8,95.60121658986225,95.33503225806453,49.0,26.1,105.54,26.43987327188939,1.3715891705069119,1924.9,101.5,63.3,39.02,48.3,50.9,93.1,787.0,0.665,,198.0
85,3667.0,9.53,359.3,96.59738321167896,97.32183870967738,55.0,33.4,105.57,33.68865328467154,3.496397080291972,2856.2,123.1,63.3,39.02,48.3,50.9,92.8,787.0,0.665,,174.0
86,3667.0,11.11,354.0,98.95240206185592,40.73983870967736,60.0,39.2,105.56,39.666828178694175,3.8912477663230236,3766.5,154.0,63.3,39.02,48.3,50.9,94.8,787.0,0.665,,171.0
87,3667.0,12.7,348.1,100.10129617834409,45.06035483870962,64.0,43.7,105.51,44.07239171974519,5.187693471337577,4529.6,176.6,63.3,39.02,48.3,50.9,95.2,787.0,0.665,,165.0
88,3667.0,14.29,340.0,102.22606557377014,47.84654838709679,66.0,47.8,105.44,48.17109016393446,6.576014344262297,5557.8,206.0,63.3,39.02,48.3,50.9,96.0,787.0,0.665,,162.0
89,3670.0,7.94,359.46,96.6323353500564,96.284828,51.1,26.6,105.2,26.721264920388606,2.5212206740139256,1868.0,107.0,63.3,37.19,48.0,50.2,94.1,,,,
90,3670.0,9.53,354.05,97.73223105694811,97.456688,57.3,34.3,105.2,34.300860082354944,3.9208616667250626,2730.0,141.4,63.3,37.19,48.0,50.2,95.0,,,,
91,3670.0,11.11,345.57000000000005,98.48931742101426,97.216438,62.7,,105.14,40.213197539448224,5.216373740467395,3626.0,169.1,63.3,37.19,48.0,50.2,91.4,,,,
92,3670.0,12.7,336.3,102.40378048912564,102.293098,65.1,44.8,105.04,44.739639307486506,6.656155877896616,4152.0,195.9,63.3,37.19,48.0,50.2,95.8,778.8,0.674,,140.0
93,3670.0,14.29,323.77,100.80219648906392,95.843582,67.1,48.1,104.9,48.14262399617571,9.166526483402155,5207.0,221.3,63.3,37.19,48.0,50.2,95.0,,,,
94,3668.5,9.53,340.0,94.02052714708701,94.19509677419349,59.0,32.4,104.853,33.5142857847976,1.391210256663376,2868.6,105.2,72.5398,36.75,48.4,49.7,88.8,782.53,0.66,,154.0
95,3668.5,11.11,334.0,95.50515307582188,95.88422580645144,61.0,38.6,104.834,39.28579113018597,2.0189837386742946,3773.0,122.8,72.5398,36.75,48.4,49.7,88.1,782.53,0.66,,141.0
96,3668.5,12.7,326.0,94.89208995037264,95.52348387096755,64.0,42.7,104.74,42.913789702233274,2.7990755583126563,4590.3,142.1,72.5398,36.75,48.4,49.7,88.8,782.53,0.66,,139.0
97,3668.5,14.29,318.0,97.27056371490129,95.52348387096755,66.0,46.9,104.643,46.71543250539952,3.226367926565875,5452.4,161.1,72.5398,36.75,48.4,49.7,88.9,782.53,0.66,,132.0
98,,12.7,,100.24718459403162,100.08,64.0,,,45.94230811936156,0.5,4122.0,132.9,72.5,,,,91.0,,,,
99,3548.5,6.35,300.5,103.75753176885095,107.89592,26.0,,104.52,16.817760028188875,0.2,755.63,268.9,40.8,37.12,44.2,44.6,101.1,,,,
100,3548.5,9.53,261.1,103.97658695619889,103.98386,39.0,,104.13,27.42533771343727,2.2,1328.0,186.7,40.8,37.12,44.2,44.6,102.0,,,,
101,3548.5,11.11,231.6,102.53933206095796,102.51287,43.0,,103.74,33.97761949927431,3.6,1790.0,191.7,40.8,37.12,44.2,44.6,100.8,,,,
102,3548.5,12.7,207.89999999999998,103.26887631046952,103.34484,46.0,,103.37,39.50795709025268,3.8,2056.0,191.1,40.8,37.12,44.2,44.6,101.5,,,,
103,3548.5,14.29,192.0,103.8743427750526,103.86777,47.0,,103.09,42.889363910301356,3.8,2119.0,179.3,40.8,37.12,44.2,44.6,102.2,,,,
104,3548.5,7.94,226.79,102.04843963366338,101.13834,27.8,,103.3,21.558205663366316,0.4,765.0,70.3,40.8,33.22,,,98.0,,,,
105,3548.5,9.53,210.11,100.5923316392014,100.40366,30.5,26.2,103.17,27.582029627059832,1.0,1180.0,94.8,40.8,33.22,,,98.0,,,,
106,3548.5,11.11,194.68,101.26118873198922,101.40632,36.0,34.3,102.97,34.280063040345865,1.2,1499.0,106.0,40.8,33.22,,,98.5,,,,
107,3548.5,12.7,181.13,101.31547629603484,100.94046,39.3,38.3,102.73,38.83960782577906,1.8,1736.18,109.3,40.8,33.22,,,98.3,,,,
108,3548.5,14.29,169.25,100.39855422804467,95.35319,43.0,41.6,102.5,42.075778045325784,2.0,1869.95,110.5,40.8,33.22,,,98.2,,,,
116,3640.8,6.35,346.83547500000003,104.35490932890927,106.97411,36.0,,106.2,24.319080287610614,0.0,918.0,99.0,45.2,36.91,49.1,48.4,103.7,,,,
117,3640.8,9.53,338.8308,107.21844260137698,104.3933,44.0,,106.4,37.07430003060443,2.318239326702373,2016.83,189.4,45.2,36.91,49.1,48.4,103.0,,,,
118,3640.8,11.11,331.1301,106.27888716881155,106.24757,49.0,,106.47,43.7389906056018,2.3834350946252867,2808.94,240.6,45.2,36.91,49.1,48.4,102.6,,,,
119,3640.8,12.7,322.112175,106.89910461720584,106.80819,52.0,,106.4,48.82547114443568,2.8877192107340126,3567.0,292.2,45.2,36.91,49.1,48.4,102.5,,,,
120,3640.8,14.3,313.398225,108.51384787057926,108.4459,52.0,,106.7,52.56820123401053,7.887590248307003,4111.0,328.4,45.2,36.91,49.1,48.4,103.9,,,,
121,3640.5,7.94,346.32885,98.6731937268516,98.06473,48.1,26.5,106.5,26.470533738425914,1.389455555555557,1499.0,172.2,45.2,36.99,,,97.4,,,,
122,3640.5,9.53,340.04670000000004,99.75011072431639,97.57602,56.8,35.7,106.6,36.03139318551372,1.181596807095343,2228.3,235.7,45.2,36.99,,,97.4,,,,
123,3640.5,11.11,332.5182525,100.73203566495226,100.92252,61.9,42.3,106.6,42.68608718589273,1.8010030271858954,2957.0,229.8,45.2,36.99,,,98.2,,,,
124,3640.5,12.7,323.125425,101.43754858564316,99.99746,65.9,47.6,106.5,47.70889010660982,2.92092434968017,3788.0,364.8,45.2,36.99,,,100.1,,,,
125,3640.5,14.3,313.70220000000006,101.61406712023056,106.12093,67.6,51.8,106.4,51.94422598992091,2.584163110151191,4455.0,431.1,45.2,36.99,,,98.6,,,,
126,3577.5,7.94,312.99292499999996,99.00846564929665,97.90287,46.2,24.8,106.614,25.195124855252303,0.33397796526054596,1391.0,110.9,45.6,34.18,49.0,49.7,98.1,,,,
127,3577.5,9.53,304.88692499999996,99.26105127031012,97.4281,53.5,32.1,106.6,32.47125546528803,0.31169264401772556,2026.0,155.6,45.6,34.18,49.0,49.7,97.7,,,,
128,3577.5,11.11,294.5821725,98.84375012762058,98.64989,57.9,38.5,106.5,38.90015349134002,0.7042914858705568,2720.0,201.5,45.6,34.18,49.0,49.7,97.1,,,,
129,3577.5,12.7,282.4941,98.30055471491215,97.86206,62.3,44.2,106.4,44.62660154239767,2.725833684210525,3464.0,246.9,45.6,34.18,49.0,49.7,97.7,,,,
130,3577.5,14.29,270.13245,97.394537872493,97.38319,63.0,48.3,106.3,48.34321502865334,3.3015374785100233,4088.0,273.9,45.6,34.18,49.0,49.7,95.2,,,,
131,3577.3,9.53,206.277,92.3,92.3,44.0,27.9,103.25,31.5,0.10599244390379564,1645.0,58.2,48.8092,23.78,43.4,,89.8,,,,
132,3577.3,11.11,197.5,92.7,92.8,49.0,36.0,103.12,38.3,0.1,2118.0,66.7,48.8092,23.78,43.4,,90.1,,,,
133,3577.3,12.7,189.068,92.0,93.0,53.0,41.8,102.95,42.9,0.4,2474.0,66.1,48.8092,23.78,43.4,,89.6,,,,
134,3577.3,14.29,179.555,93.3,92.7,54.0,45.8,102.72,47.5,5.6,2913.0,59.0,48.8092,23.78,43.4,,89.6,,,,
135,3554.8,9.53,193.29999999999998,93.62548055555568,93.479,44.0,32.5,104.2,32.4711701388889,0.4,1462.0,48.6,48.8,,34.0,,89.6,,,,
136,3424.5,6.35,316.1,101.81950427350398,101.92225806451619,24.2,,106.2,23.662576068376058,0.6,884.0,68.9,44.2,37.21,50.2,50.7,101.8,780.0,0.648,,241.0
137,3424.5,9.53,281.5,103.86519924098695,103.97161290322573,35.5,,106.4,36.558231499051224,1.3980222011385202,1867.0,120.4,44.2,37.21,50.2,50.7,103.6,780.0,0.648,,216.0
138,3424.5,11.11,257.9,103.06488372093023,103.45129032258062,42.3,,106.47,42.63247780126855,2.183448414376323,2445.0,123.9,44.2,37.21,50.2,50.7,102.6,792.0,0.648,,191.0
139,3424.5,12.7,236.5,104.28088105726873,104.34129032258065,47.8,,106.4,48.01590528634359,2.500872907488986,2869.0,126.4,44.2,37.21,50.2,50.7,103.9,785.0,0.648,,177.0
140,3424.5,14.3,221.2,104.42884344146684,104.62210526315792,50.6,,106.7,50.5755373765868,2.5502173483779966,3112.0,121.4,44.2,37.21,50.2,50.7,104.0,777.0,0.648,,164.0
141,3437.0,7.5,305.56,100.8,99.7,40.0,26.0,106.5,25.9,0.6,1168.0,79.0,44.2,36.46,47.9,48.6,99.8,782.0,0.684,,219.0
142,3437.0,7.94,298.69,100.6,100.6,48.0,27.8,106.6,28.5,1.0,1401.0,93.1,44.2,36.46,47.9,48.6,99.8,782.0,0.684,,218.0
143,3437.0,9.53,278.23,100.6,100.6,54.0,35.1,106.6,36.3,1.5,1996.0,110.8,44.2,36.46,47.9,48.6,100.1,782.0,0.684,,200.0
144,3437.0,11.11,256.21,101.2,101.2,54.0,40.9,106.5,41.0,1.7,2545.0,115.5,44.2,36.46,47.9,48.6,100.1,782.0,0.684,,161.0
145,3437.0,12.7,234.19,101.3,101.6,56.0,45.6,106.4,46.2,0.9,3043.0,113.2,44.2,36.46,47.9,48.6,100.3,782.0,0.684,,157.0
146,3437.0,14.29,216.9,101.4,100.2,57.0,49.3,106.43,49.7,0.8,3320.0,116.8,44.2,36.46,47.9,48.6,100.7,782.0,0.684,,154.0
147,3440.0,7.94,174.0,92.0526897987506,90.945,44.0,25.6,102.55,25.94277793199168,0.23924449687716876,1187.0,60.9,44.2,29.17,56.1,,90.0,770.1,0.57,,180.0
148,3440.0,7.94,228.46,92.58793483709262,92.642,42.0,24.8,102.507,25.80761152882207,0.23698969924812027,1168.0,60.1,44.2,29.17,56.1,,90.4,770.1,0.57,,178.0
149,3440.0,7.94,228.1,92.6323398762964,94.154,43.0,26.6,102.068,26.23892374702136,0.23765479833101524,1172.0,59.8,44.2,29.17,56.1,,90.7,770.1,0.57,,180.0
150,3277.8,6.35,382.5,101.9,104.1,26.5,,106.2,25.9,0.8,1891.0,116.8,44.5,40.35,53.9,52.7,101.5,781.0,0.672,,224.0
151,3277.8,9.53,373.7,103.8,103.5,39.0,,106.4,40.1,3.2,1192.0,82.6,44.5,40.35,53.9,52.7,101.5,186.0,0.672,,199.0
152,3277.8,11.11,365.7,103.6,102.9,45.3,,106.47,46.1,0.6,2740.0,152.8,44.5,40.35,53.9,52.7,103.2,790.0,0.672,,201.0
153,3277.8,12.7,354.5,104.1,103.8,50.3,,106.4,50.5,1.6,3730.0,196.5,44.5,40.35,53.9,52.7,102.7,787.0,0.672,,191.0
154,3277.8,14.3,345.9,105.8,104.0,53.5,,106.7,54.0,1.8,4726.0,232.4,44.5,40.35,53.9,52.7,103.1,787.0,0.672,,192.0
155,3276.0,7.5,370.0389,95.0,95.4,56.0,28.6,104.98,30.4,1.2,1967.0,114.7,44.5,39.44,48.3,45.6,94.3,785.0,0.667,,222.0
156,3276.0,9.53,364.6788075,94.9,94.9,62.0,36.3,105.18,37.5,1.4,2970.0,154.5,44.5,39.44,48.3,45.6,93.5,785.0,0.667,,212.0
157,3276.0,11.11,357.1199625,97.0,96.9,66.0,42.8,105.24,43.7,1.4,3869.0,196.7,44.5,39.44,48.3,45.6,95.3,785.0,0.667,,204.0
158,3276.0,12.7,347.44342499999993,95.7,95.8,70.0,47.5,105.23,47.9,2.1,5012.0,235.7,44.5,39.44,48.3,45.6,94.2,785.0,0.667,,198.0
159,3276.0,14.3,337.87834499999997,99.8,99.3,70.0,51.8,105.16,52.1,2.3,5733.0,264.3,44.5,39.44,48.3,45.6,98.5,785.0,0.667,,186.0
160,3284.0,7.94,335.20000000000005,88.7,89.0,51.0,27.0,104.68,27.2,1.1,1773.0,93.1,44.5,35.28,40.5,41.6,89.7,782.0,0.66,,201.0
161,3284.0,9.53,328.1,91.2,91.4,59.1,34.9,104.84,35.7,1.9,2750.0,119.2,44.5,35.28,40.5,41.6,88.9,782.0,0.66,,182.0
162,3284.0,11.11,318.0,98.0,98.9,63.3,41.4,104.85,42.5,3.5,3583.0,143.9,44.5,35.28,40.5,41.6,91.0,782.0,0.66,,165.0
163,3284.0,12.7,307.8,98.6,97.2,65.0,45.8,104.78,46.3,4.7,4165.0,156.8,44.5,35.28,40.5,41.6,94.4,782.0,0.66,,153.0
164,3284.0,14.29,293.6,98.5,98.4,66.9,49.8,104.63,50.5,6.4,5113.0,174.3,44.5,35.28,40.5,41.6,94.0,782.0,0.66,,147.0
165,3288.6,7.94,309.1,92.6,92.7,51.0,,104.4,28.1,0.44891701610110907,1759.0,84.7,48.3747,33.21,,,89.9,779.6,0.668,,182.0
166,3288.6,11.11,293.9,93.1,93.3,60.0,,104.6,41.3,1.5,3454.0,123.0,48.3747,33.21,,,90.8,779.6,0.668,,145.0
167,3289.8,9.53,271.0,95.94595105865976,94.637,56.0,,103.9,36.16154737938216,1.0,2223.0,80.0,48.4,,39.9,,94.0,772.6,0.671,,139.0
168,3672.3,6.35,375.048408,106.17516930701034,105.48754,25.0,,106.6,24.15616203867847,0.8748941821112014,1047.0,75.0,43.0,43.98,58.8,65.9,106.0,,,,
169,3672.3,9.53,356.765325,106.42150231417631,104.83707,47.0,,106.8,36.77411065134103,5.0742453333333355,2422.0,156.6,43.0,43.98,58.8,65.9,105.8,,,,
170,3672.3,11.11,340.8573,106.53457169044204,106.30395,47.0,,106.7,42.8143000142654,1.6885314693295304,3175.0,194.0,43.0,43.98,58.8,65.9,105.8,,,,
171,3672.3,12.7,323.6746065,106.10082069872298,105.7409,47.0,,106.5,47.76626674680694,1.5186961983471081,3955.0,231.8,43.0,43.98,58.8,65.9,105.4,,,,
172,3672.3,14.29,306.710775,106.11478101418439,106.63985,47.0,,106.3,51.14760070921981,1.4199205106382973,4511.0,256.8,43.0,43.98,58.8,65.9,106.6,,,,
173,3679.5,7.94,335.97,89.81832063390507,87.58879,48.2,22.0,106.73,21.98896623095826,0.500798034398034,1599.0,99.5,43.0,38.74,48.0,61.8,86.5,,,,
174,3679.5,9.53,325.47,89.44326030021458,89.37193,54.7,29.5,106.7,29.489079671193707,1.5541646890636152,2382.0,128.0,43.0,38.74,48.0,61.8,88.0,,,,
175,3679.5,11.11,311.69,91.73778479883114,91.68636,60.6,36.8,106.59,36.95314233357711,2.9050263643013885,3100.0,158.9,43.0,38.74,48.0,61.8,89.7,,,,
176,3679.5,14.29,288.76,96.31888419605232,100.59241,64.0,46.0,106.27,46.00891623413251,5.14166657263752,4343.0,210.4,43.0,38.74,48.0,61.8,92.7,,,,
177,3678.0,7.94,319.639,87.46398928231895,86.870461,50.3,22.9,105.38,23.289476115019067,1.3,1852.0,91.3,46.7435,36.96,60.9,60.8,83.7,,,,
178,3678.0,9.53,310.281,89.16134300783284,90.022499,48.6,30.8,105.36,30.779152722499195,1.2,2647.0,111.9,46.7435,36.96,60.9,60.8,85.5,,,,
179,3678.0,11.11,291.377,92.07288248653074,91.773788,52.4,37.8,105.16,37.69498104426164,1.5,3324.0,125.0,46.7435,36.96,60.9,60.8,88.6,,,,
180,3678.0,12.7,271.586,93.25511106004254,92.702141,55.6,41.8,104.91,41.83273067661524,1.5,3728.0,128.3,46.7435,36.96,60.9,60.8,89.7,,,,
181,3678.0,14.29,249.076,96.47214291808145,100.060417,56.7,47.6,104.5,47.71535749833721,1.7,4302.0,135.9,46.7435,36.96,60.9,60.8,87.3,,,,
182,3679.5,7.94,289.3877,91.13122614234176,91.304642,47.0,24.4,104.903,24.84165043077352,1.118,1550.0,92.4,46.7435,38.65317,64.1,61.3,88.2,,,,
183,3679.5,9.53,282.8709,91.17300798070237,91.616821,48.9,26.7,104.882,31.580439797721507,4.748,2265.0,108.9,46.7435,38.65317,64.1,61.3,88.5,,,,
184,3679.5,11.11,267.4787,91.53026166328058,89.507935,53.5,33.3,104.689,37.478663672060556,6.278,2918.0,122.7,46.7435,38.65317,64.1,61.3,89.8,,,,
